,Land,Water,Legs,2Legs,4Legs,6Limbs,8MoreLimbs,Herbivore,Carnivore,Fly,Mammal,Exoskeleton,Nocturnal,Eggs,Domesticated,Rodent,Hairy,Work,Equine,Hooves,Vertebrate,Shear,Europe,Asia,Africa,Australia,Americas,NorthAmerica,SouthAmerica,Baleen,2wings,Grazer,Tusks,Brain,Pet,Primate,Bovine,Tree,Blowhole,Hump,EatInsect,Feline,Eusocial,Spotted,Striped,Arctic,Pacific,Atlantic,Freshwater,Social,Horns,Canine,Tunneling,Smell,Spiny,Bird,Elytra,FastestLand,Jump,Proboscis
wolf,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,?,N,N,?,N,?,N,N,?,?,?,?,Y,N,Y,N,N,N,N,?,N,?,N
zebra,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,Y,?,?,?,?,?,N,N,N,N,N,N,?,N,?,N
Platypus,?,Y,Y,N,Y,N,N,N,Y,N,Y,N,?,Y,N,N,?,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,?,N,Y,?,N,N,?,N,N,?,N,?,N,N,N,?,N,?,?,N,N,?,N,N,N,?,N,?,N
Squid,N,Y,N,N,N,Y,N,N,Y,N,N,N,?,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,?,N
Beetle,Y,?,Y,N,N,Y,N,Y,Y,Y,N,Y,?,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,?,?,Y,?,N,N,?,N,N,?,N,N,N,N,?,?,?,?,N,?,N,?,N,N,N,Y,N,?,N
Walrus,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,?,?,N,N,?,?,?,N,?,?,Y,Y,?,N,N,?,N,N,?,N,N,N,N,Y,N,N,?,?,?,N,N,N,N,N,?,N,?,N
Yak,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,?,N,N,N,N,?,?,?,?,?,Y,N,N,N,N,N,?,N,?,N
Narwhal,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,?,?,?,N,N,N,N,N,?,N,?,N
alpaca/Llama,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,?,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,?,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,N,N,N,N,N,N,?,N,?,N
badger,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,?,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,?,N,Y,N,N,N,N,N,N,Y,N,N,N,?,N,N,N,N,?,N,N,N,N,N,N,?,N,?,N
